Date,DELL
2021-07-08,99.0000
2021-07-09,100.2500
2021-07-12,97.1300
2021-07-13,93.7600
2021-07-14,93.4000
2021-07-15,93.6400
2021-07-16,92.2900
2021-07-19,92.8800
2021-07-20,95.3700
2021-07-21,96.2100
2021-07-22,95.9400
2021-07-23,96.5500
2021-07-26,96.4600
2021-07-27,96.1000
2021-07-28,95.8900
2021-07-29,96.7900
2021-07-30,96.6200
2021-08-02,96.2900
2021-08-03,98.4300
2021-08-04,97.3900
2021-08-05,98.3400
2021-08-06,98.5400
2021-08-09,98.5000
2021-08-10,98.4200
2021-08-11,100.3700
2021-08-12,100.5100
2021-08-13,100.0300
2021-08-16,99.6500
2021-08-17,97.8200
2021-08-18,96.9600
2021-08-19,96.2200
2021-08-20,98.5000
2021-08-23,100.1200
2021-08-24,100.7400
2021-08-25,102.0600
2021-08-26,101.5500
2021-08-27,96.9500
2021-08-30,98.1500
2021-08-31,97.4600
2021-09-01,96.7500
2021-09-02,97.0700
2021-09-03,97.1400
2021-09-07,96.0100
2021-09-08,94.8900
2021-09-09,96.3800
2021-09-10,95.2400
2021-09-13,98.8900
2021-09-14,97.4400
2021-09-15,100.4400
2021-09-16,101.4000
2021-09-17,100.5300
2021-09-20,100.8700
2021-09-21,99.3400
2021-09-22,99.2700
2021-09-23,102.6900
2021-09-24,103.8800
2021-09-27,104.8700
2021-09-28,105.2900
2021-09-29,105.3800
2021-09-30,104.0400
2021-10-01,105.7800
2021-10-04,105.2400
2021-10-05,105.9300
2021-10-06,105.5000
2021-10-07,107.0500
2021-10-08,105.0600
2021-10-11,105.2000
2021-10-12,103.7500
2021-10-13,103.6800
2021-10-14,106.0000
2021-10-15,107.7100
2021-10-18,108.6500
2021-10-19,110.8100
2021-10-20,111.6300
2021-10-21,112.9800
2021-10-22,114.5400
2021-10-25,112.2900
2021-10-26,110.2100
2021-10-27,108.3900
2021-10-28,110.0800
2021-10-29,109.9900
2021-11-01,111.5100
2021-11-02,54.6100
2021-11-03,55.2000
2021-11-04,54.5700
2021-11-05,56.3600
2021-11-08,55.5300
2021-11-09,56.0800
2021-11-10,56.6200
2021-11-11,56.1900
2021-11-12,56.0000
2021-11-15,56.7000
2021-11-16,56.7000
2021-11-17,56.0000
2021-11-18,55.9000
2021-11-19,55.0200
2021-11-22,55.1300
2021-11-23,54.6700
2021-11-24,57.3000
2021-11-26,56.1800
2021-11-29,57.5700
2021-11-30,56.4700
2021-12-01,55.7000
2021-12-02,57.1500
2021-12-03,58.4800
2021-12-06,58.7500
2021-12-07,58.9100
2021-12-08,58.4000
2021-12-09,57.6500
2021-12-10,57.6000
2021-12-13,55.7200
2021-12-14,54.6300
2021-12-15,56.0400
2021-12-16,54.9900
2021-12-17,54.6500
2021-12-20,53.6000
2021-12-21,55.4500
2021-12-22,55.3700
2021-12-23,55.8800
2021-12-27,56.6000
2021-12-28,56.9500
2021-12-29,57.0500
2021-12-30,56.5100
2021-12-31,56.1700
2022-01-03,56.9800
2022-01-04,58.4900
2022-01-05,57.9800
2022-01-06,58.0400
2022-01-07,57.9900
2022-01-10,59.8800
2022-01-11,60.2500
2022-01-12,59.9500
2022-01-13,60.1700
2022-01-14,60.5300
2022-01-18,59.4800
2022-01-19,57.9600
2022-01-20,57.4000
2022-01-21,55.5700
2022-01-24,55.4200
2022-01-25,55.4400
2022-01-26,55.3400
2022-01-27,55.4500
2022-01-28,56.2400
2022-01-31,56.8100
2022-02-01,58.5700
2022-02-02,59.4000
2022-02-03,59.2000
2022-02-04,58.7400
2022-02-07,58.9600
2022-02-08,59.9500
2022-02-09,60.7700
2022-02-10,60.7200
2022-02-11,59.5100
2022-02-14,58.6000
2022-02-15,59.8200
2022-02-16,60.2900
2022-02-17,59.2600
2022-02-18,58.9000
2022-02-22,57.1300
2022-02-23,56.7800
2022-02-24,55.8400
2022-02-25,51.4600
2022-02-28,50.9600
2022-03-01,49.8800
2022-03-02,53.6000
2022-03-03,52.5900
2022-03-04,51.9600
2022-03-07,49.3300
2022-03-08,50.2400
2022-03-09,51.9800
2022-03-10,51.9700
2022-03-11,52.0100
2022-03-14,50.7400
2022-03-15,52.0800
2022-03-16,51.9700
2022-03-17,50.5100
2022-03-18,51.8300
2022-03-21,52.3200
2022-03-22,52.9900
2022-03-23,52.6000
2022-03-24,53.5100
2022-03-25,54.7900
2022-03-28,54.3000
2022-03-29,55.0300
2022-03-30,54.3200
2022-03-31,50.1900
2022-04-01,48.8000
2022-04-04,49.3800
2022-04-05,48.6600
2022-04-06,47.1200
2022-04-07,47.6900
2022-04-08,47.3900
2022-04-11,46.9500
2022-04-12,47.1000
2022-04-13,47.3100
2022-04-14,46.9400
2022-04-18,47.4400
2022-04-19,47.9900
2022-04-20,49.0000
2022-04-21,48.2100
2022-04-22,46.8700
2022-04-25,47.2700
2022-04-26,46.5100
2022-04-27,46.5500
2022-04-28,48.1200
2022-04-29,47.0100
2022-05-02,47.5000
2022-05-03,47.8500
